Product_Name,Product_Brand,Product_Price,Product_Image_Url,Product_Url
RIPNDIP Psychedelic 150 2021 Snowboard,RIPNDIP,€ 34995,https://images.blue-tomato.com/is/image/bluetomato/304365863_front.jpg-_0KLJ6iCC0UQR7JJmaxoQFWlRCg/RIPNDIP+Psychedelic+150+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-DE/product/RIPNDIP-Psychedelic+150+2021+Snowboard-626367/
Burton Step On 2021,Burton,€ 27995,https://images.blue-tomato.com/is/image/bluetomato/303922457_front.jpg-CRN2lAZQIQD0z2Mcc3z4opc12GY/Burton+Step+On+2020+Snowboardbindung.jpg?$b1$,https://www.blue-tomato.com/de-DE/product/Burton-Step+On+2020+Snowboardbindung-567090/
Ride Lasso 2021,Ride,€ 31995,https://images.blue-tomato.com/is/image/bluetomato/304358461_front.jpg-BRoeclzO8cz80kuXq78i9MNkt30/Ride+Lasso+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-DE/product/Ride-Lasso+2021+Snowboardboots-624690/
Lib Tech Travis Rice Orca 153 2021,Lib Tech,€ 64995,https://images.blue-tomato.com/is/image/bluetomato/304372979_front.jpg-mT-5r5rdc_RJZyja5ifTn7VaT5c/Lib+Tech+Travis+Rice+Orca+153+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-DE/product/Lib+Tech-Travis+Rice+Orca+153+2021+Snowboard-628802/
Anon Greta 3 Helmet,Anon,€ 7995,https://images.blue-tomato.com/is/image/bluetomato/304363599_front.jpg-_qcGOSp9AWfxHSWfbMJI-Tmuubk/Anon+Greta+3+Helm.jpg?$b1$,https://www.blue-tomato.com/de-DE/product/Anon-Greta+3+Helm-626081/
Roxy Feelin Oxblood Red Leopold,Roxy,€ 12995,https://images.blue-tomato.com/is/image/bluetomato/304270280_front.jpg-koHkgEKJRFie2vpJ7dZrzQfdRCQ/Roxy+Feelin+Oxblood+Red+Leopold+Goggle.jpg?$b1$,https://www.blue-tomato.com/de-DE/product/Roxy-Feelin+Oxblood+Red+Leopold+Goggle-615360/
Vans Infuse 2021,Vans,€ 40995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Vans-Infuse+2021+Snowboardboots-628304/
Capita Defenders Of Awesome 158 2021,Capita,€ 47995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Capita-Defenders+Of+Awesome+158+2021+Snowboard-618458/
Burton Process 157 2021,Burton,€ 45995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Burton-Process+157+2021+Snowboard-622557/
Union Force 2021,Union,€ 24995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Union-Force+2021+Snowboardbindung-618606/?colid=black
