Product_Name,Product_Item_Number,Original_Price,Discount_Price,Image_Url
Bright Blue Slim Fit Check Suit: Jacket,361-381, £84,£16,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/361381.jpg
Bright Blue Slim Fit Check Suit: Trousers,872-134, £45,£13.50,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/872134.jpg
Under Armour Charged Trainers,976-269, £65,£32,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/976269.jpg
Blue Regular Fit Linen Blend Long Sleeve Shirt,296-495, £26,£9,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/296495.jpg
Grey Camouflage Cargo Shorts,205-660, £24,£12,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/205660.jpg
Light Grey Skinny Fit Grey Check Signature Nova Fides Italian Fabric Blazer,334-354, £139,£41,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/334354.jpg
Tan Lace Loafers,480-140, £48,£19,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/480140.jpg
Straight Raw Denim Straight Leg Stretch Jeans,110-343,,£20,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/110343.jpg
Orange Tipped Regular Fit Poloshirt,201-336, £20,£10,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/201336.jpg
Grey/Blue Skinny Fit Check Suit: Jacket,641-280, £84,£15,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/641280.jpg
Grey/Blue Regular Fit Check Suit: Waistcoat,605-775, £45,£15,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/605775.jpg
Grey/Blue Skinny Fit Check Suit: Trousers,647-256, £45,£15,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/647256.jpg
Taupe/Brown Skinny Fit Check Suit: Trousers,609-928, £45,£15,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/609928.jpg
Taupe/Brown Skinny Fit Check Suit: Jacket,646-610, £80,£15,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/646610.jpg
Blue Regular Fit Short Sleeve Madras Check Shirt,476-612, £25,£12.50,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/476612.jpg
Mid Grey/Blue Windowpane Check Suit: Jacket,384-260, £84,£32,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/384260.jpg
